Date,Nuttin' Better - R,Banana's A Whey - R,Ripped Berry - R,Strawberry Storm - R,High Impact Acai - R,Mind Over Matcha - R,Pomegranate Punch - R,Tropical Tornado - R,Strawberry Sunshine - R,Strawberry Sunshine - S,Mango Hurricane - R,Tropical Tornado - S,Very Berry - S,Mango Hurricane - S,Very Berry - R,Funky Monkey - R,Pineapple Freeze - R,Berry Cream Sensation - S,Canadian Colada - R,Funky Monkey - S,Pineapple Freeze - S,Berry Cream Sensation - R,Tropi-Kale - R,Coco Crush - R,Tropi-Kale - S,Spinach is in it - S,Spinach is in it - R,Lemon Berry - R,Energy Booster,Power Booster,Warrior Booster,Wilderness Booster,Brazilian Thunder - R,Pomegranate Passion - S,Brazilian Thunder - S,Matcha Monsoon - S,Pomegranate Passion - R,Matcha Monsoon - R,Booster Ball (2),Booster Ball (1),Booster Ball (4),Booster Ball (3),Lemon & Ginger Shot - D,Chocolate Chip - Booster Ball,Oatmeal Coconut - Booster Ball,"""Protein & Co"" Bar",Drink - Bottled Water - 500 ml,Chipotle Chicken Wrap,Chipotle Chicken Panini,Chicken Quesadilla,Pesto Chicken Panini,Matcha On My Mind Blend,Canadian Colada - S,Coco Crush - S,Lemon Berry - S,Density Booster,Lemon & Ginger Shot - S,Raspberry Rapture - S,Banango Burst - R
2023-12-28,5,12,11,9,6,7,8,10,23,17,25,4,13,21,14,9,4,1,4,6,1,1,7,0,8,1,2,0,11,5,3,0,3,4,3,1,5,1,4,4,0,1,0,5,3,0,6,4,2,2,2,0,2,1,2,4,0,0,0
2023-12-29,17,10,7,6,13,13,7,10,21,18,28,5,6,20,7,7,5,2,3,4,3,1,9,0,2,2,3,3,13,2,14,2,3,5,1,1,4,4,6,3,1,1,0,6,5,1,8,3,3,3,1,1,3,0,2,0,1,1,0
2023-12-30,8,9,8,12,9,6,7,11,18,16,33,7,7,14,10,9,1,1,2,3,0,2,4,0,1,0,1,6,12,4,7,2,7,3,1,2,6,5,4,1,3,1,1,4,6,0,8,0,0,0,0,0,0,1,1,3,2,0,0
2023-12-31,9,4,7,3,4,4,5,8,17,8,15,3,5,13,4,0,3,1,2,2,0,0,5,0,4,0,2,0,8,3,3,1,1,0,1,0,2,4,6,1,3,1,0,5,9,0,6,0,0,0,0,0,0,0,2,1,0,0,0
2024-01-01,8,8,11,6,7,8,2,15,21,5,23,4,5,6,4,5,2,0,1,2,2,2,4,1,2,3,2,0,14,4,8,2,5,2,1,0,2,1,5,2,1,2,1,7,0,0,5,2,0,2,1,0,1,0,1,0,0,0,0
2024-01-02,11,7,7,12,8,11,4,13,18,12,16,3,7,13,7,8,5,3,5,4,2,1,2,0,5,4,4,3,15,3,10,2,3,5,0,3,3,4,2,1,0,5,2,0,7,0,8,2,2,1,1,5,2,0,0,5,0,1,0
2024-01-03,11,7,12,9,5,7,5,7,15,22,21,1,5,13,7,8,3,1,0,3,0,1,5,3,5,0,8,5,18,3,8,2,4,3,4,2,4,2,3,4,0,4,1,8,2,2,13,2,1,1,2,0,0,0,4,2,0,0,1
2024-01-04,15,12,14,11,9,8,7,8,16,11,33,7,13,15,11,9,2,0,1,3,1,1,9,1,7,0,4,2,21,2,12,3,4,7,3,0,4,5,3,2,0,1,2,4,5,1,4,4,3,0,2,0,1,1,3,3,4,0,0
2024-01-05,8,9,10,11,5,10,10,9,22,12,22,7,8,7,9,5,3,1,3,2,2,2,5,2,3,1,2,2,13,2,8,2,6,3,4,4,1,3,5,1,2,1,0,7,2,0,3,3,2,5,4,0,1,1,1,2,3,0,1
2024-01-06,6,9,5,6,8,5,5,13,15,9,19,7,9,13,12,6,4,0,1,3,0,5,9,3,0,0,2,1,16,0,4,3,4,2,1,0,8,2,3,1,0,0,0,3,1,0,2,0,0,1,0,0,3,1,0,4,0,0,0
2024-01-07,9,4,7,11,2,5,4,3,8,9,14,5,7,3,6,5,1,1,3,4,2,2,2,0,2,1,0,1,12,2,5,1,3,1,0,0,6,1,2,6,0,0,0,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0
2024-01-08,11,8,15,5,10,6,10,9,10,5,15,5,3,10,9,4,4,2,1,1,0,2,3,2,8,1,2,5,13,5,4,3,3,5,2,2,2,3,4,3,0,3,0,10,6,0,3,5,1,2,1,0,2,2,1,2,0,0,1
2024-01-09,20,8,17,16,10,5,6,11,17,11,15,5,7,9,7,4,1,0,1,3,0,1,4,2,5,4,3,1,16,3,10,0,1,2,0,1,7,2,2,3,1,3,0,10,4,0,5,4,2,3,2,0,1,0,0,5,2,0,1
